VideoId;Title;Description;PublishedAt;ViewCount;LikeCount;DlikeandUnknow;FavoriteCount;Words
_-AV5uRLZq8;Urgente. Luisa González va primero en la Encuesta para presidente;Una nueva encuesta sale donde la candidata del correísmo Luisa González aparece primera superando por poco al candidato ...;2023-09-07T13:02:00Z;5639;495;5144;0;Gonzales propuestas
_iM7PYHx7Y4;ELECCIONES 2018 FREDDY GONZALES PIDE A CANDIDATOS PROPUESTAS EN MATERIA DEPORTIVA;;2018-09-04T17:40:35Z;51;0;51;0;Gonzales propuestas
_jOK2z6GBxs;"Rabascall: &quot;Si no soy candidato de la Revolución Ciudadana no participaré en estas elecciones&quot;";En diálogo con Radio la Calle, Carlos Rabascall aseguró que si no logra ser binomio de la Revolución Ciudadana no participará ...;2023-05-23T14:28:43Z;13968;329;13639;0;Revolución Ciudadana
_Kb9k9xBCT0;SE REVELA PLAN DE DANIEL NOBOA QUE PRETENDE SUBIR APORTES Y EDAD DE JUBILACION EN IESS NOTICIAS RFE;SALE A LA LUZ LO QUE ESCONDÍA DE SUS PLANES FE GOBIERNO DANIEL NOBOA EN PRECARIZAR EL IESS SUBIENDO ...;2023-08-22T19:15:07Z;13071;907;12164;0;Noboa propuestas
_kemxpu_S0w;Daniel Noboa - Candidato a la presidencial por la alianza Acción Democrática Nacional (ADN);Propuestas.;2023-07-05T20:17:28Z;4304;56;4248;0;Noboa propuestas
_NE5Nl1aVzk;Al Pie | Voces: ¿Qué opina sobre las declaraciones de Luisa González?;Los venezolanos corriendo a su país? Luego de las declaraciones de Luisa #González en una entrevista, @DonaldDiazph ...;2023-09-08T17:00:31Z;5639;495;5144;0;Luisa Gonzales presidente
_SCMPZDFUsQ;Candidata Presidencial Luisa Gonzalez: Am3naz4 de AtEnt4do y Respaldo de las FFAA Ecuador;Noticia Impactante! La candidata a la presidencia, Luisa Gonzalez, revela recibir am3n4zas de at3nt4do mientras el presidente ...;2023-09-01T18:00:10Z;1243;19;1224;0;Luisa Gonzales presidente
_wCmhZJr4fg;Pierina Correa: 57 asambleístas conformarían el bloque de la Revolución Ciudadana;Nosotros en el primer conteo, cerrado el domingo con todo el seguimiento que hicimos (…) llegamos aproximadamente a 57 ...;2023-08-21T21:49:49Z;9685;143;9542;0;Revolución Ciudadana
_YTejVtbr6w;Luisa González, futura presidenta del Ecuador junto a Rafael Correa. #ElPodcastDeLuisa;Disfruta de este episodio de 🎙️ Luisa González, futura presidenta del , nos contará más sobre su vida personal, rol de ...;2023-08-07T02:11:29Z;47170;1174;45996;0;Luisa Gonzales presidente
0_vFjrLhlVw;¿ADN deja las elecciones generales?;Sobre lo ocurrido en las últimas horas conversamos con la Dra. María de la Cruz Bayá, candidata presidencial por Acción ...;2020-10-08T04:00:15Z;3613;56;3557;0;Acción Democrática Nacional (ADN)
06kuDOmmm6w;Quienes ACOMPAÑAN al candidato Daniel NOBOA, son: MORENO, CARRILLO, NEBOT y LASSO. No hay RENOVACIÓN;Entrevista Dr. Maximiliano Donoso - Exministro de Gobierno. APORTACIONES VOLUNTARIAS AL MEDIO: Banco ...;2023-08-26T11:00:10Z;25605;1350;24255;0;Problemas de Daniel Noboa
0eM_U1TBuxw;La UDA Pregunta 2023 entrevista Verónica Abad;La UDA Pregunta 2023 entrevista Verónica Abad.;2023-01-13T14:03:47Z;1030;11;1019;0;Verónica Abad
0k2mx7WZboE;Curiosidades de las elecciones anticipadas 2023;Las elecciones anticipadas del pasado domingo 20 de agosto de 2023 con sus resultados llevo al país a una segunda vuelta ...;2023-08-24T20:01:14Z;2024;29;1995;0;Elecciones 2023 Ecuador
0oQGzCepnh0;Entrevista a Andrés Arauz en Radio Capital;AndrésEnMedios #ENVIVO Sigue la entrevista a Andrés Arauz en Radio Capital.;2023-09-02T02:12:52Z;2486;180;2306;0;Andres Arauz
0pUycSqso-A;REVOLUCIÓN CIUDADANA LIDERARÍA LA LISTA DE PERFILES POLÍTICOS A LA PRESIDENCIA;Visita nuestra web oficial en: ▻ http://www.canalrtu.tv/ ================================================== Síguenos ...;2023-06-07T23:30:21Z;696;19;677;0;Revolución Ciudadana
0qG79xVvEQg;NUEVA VERGÜENZA DE VERÓNICA ABAD LA BINOMIO DE DANIEL NOBOA QUE AFECTA SU CAMPAÑA NOTICIAS RFE TV;LA CANDIDATA VICE PRESIDENCIAL VERÓNICA ABAD VUELVE A METER LA PATA Y DEJAR MUY MAL LA CAMPAÑA DE ...;2023-09-06T03:30:07Z;24829;1619;23210;0;Verónica Abad
0QL2tOrS1eU;EXPRESIDENTE RAFAEL CORREA PRESENTA AL BINOMIO DE REVOLUCIÓN CIUDADANA;ÚNETE A ECUADORINMEDIATO PREMIUM por solo US 3.99 +imp Mensual ...;2023-06-12T01:30:00Z;5377;311;5066;0;Revolución Ciudadana
0S8TBFAZU9Q;EN VIVO: EVENTO ACADÉMICO - Plan de gobierno Mgrt. Daniel Noboa Azin;Evento académico: Propuesta de plan de gobierno presidencial, dictado por el Mgtr. Daniel Noboa Azin, candidato a la ...;2023-09-08T17:32:33Z;1045;15;1030;0;Daniel Noboa propuestas
0tnmf61RZEs;Rafael Correa entrevista a Luisa González futura presidenta del Ecuador #RafaelEntrevistaALuisa;RafaelEntrevistaALuisa vamos a conocer más sobre @LuisaGonzalezEc gracias a @MashiRafael #resurgirdelapatria ...;2023-07-18T02:57:45Z;252669;7920;244749;0;Luisa Gonzales presidente
10SfeVm5OlU;"&quot;Correísmo&quot; versus &quot;anticorreísmo&quot; - La segunda vuelta electoral 2023 - Carlos Ferrín";Los candidatos presidenciales finalistas tendrán que realizar un duro trabajo, si pretenden en la segunda vuelta mantener su ...;2023-09-04T16:42:29Z;10589;115;10474;0;Segunda vuelta Ecuador
1k41FxqccMQ;Propuestas junto a marcela gonzales;Disponibles en la sucursal Cochabamba y La paz.;2020-02-07T12:33:55Z;116;2;114;0;Gonzales propuestas
1KLebZOxHxg;El candidato Daniel Noboa votó junto a su familia en Olón;Entérate de los sucesos nacionales e internacionales más destacados en El Noticiero. - Síguenos en nuestras redes sociales: ...;2023-08-20T14:41:15Z;22425;252;22173;0;Daniel Noboa presidente
1kV8CUGOu9c;Luisa González, candidata a la presidencia por la RC de Rafael Correa Discurso;;2023-06-10T21:00:11Z;52497;728;51769;0;Luisa Gonzales presidente
1oHIW-083BA;Sergio Tarqui Alarcón Vicepresidente de Boliva 20/25 ADN Acción Democrática Nacionalista;ORDEN,PAZ Y TRABAJO RUMBO AL Q´AMIRISMO TOTAL DE LOS PUEBLOS.;2020-09-12T16:58:17Z;92;5;87;0;Acción Democrática Nacional (ADN)
23bSynWZLL8;#EntrevistasNoticias7 | Verónica Abad / Candidata a la Vicepresidencia / ADN;EntrevistasNoticias7 | Verónica Abad / Candidata a la Vicepresidencia / ADN.;2023-08-21T14:12:33Z;1941;17;1924;0;Verónica Abad
246Llzx2tjg;¿Andrés Aráuz será el candidato del CORREISMO? 🤔#shorts;;2023-05-22T18:32:36Z;22910;1620;21290;0;Andres Arauz
26LmO5vTs_I;Luisa González comparó a Ecuador con las condiciones de vida en Venezuela - #DNEWS;ecuador #venezuela #polemica #frase Petrick González, Abogada Venezolana conversó en DNews acerca de la polémica frase ...;2023-09-08T16:49:38Z;5732;73;5659;0;Luisa Gonzales propuestas
2FbG7k1XthM;Discurso completo de Daniel Noboa tras las elecciones en Ecuador;Discurso completo de Daniel Noboa tras las elecciones en Ecuador #ecuador #danielNoboa ...;2023-08-21T18:52:39Z;215541;3363;212178;0;Noboa propuestas
2JurX--RLNQ;Luisa González relata como la derecha se ha burlado de los ECUATORIANOS y quieren seguir con NOBOA;Apoyame a sostener el Canal: https://www.youtube.com/channel/UCeTvDvX-MW0tHetW5wi2zkg/join Donaciones Paypal: ...;2023-09-09T22:40:28Z;9747;742;9005;0;Problemas de Luisa Gonzales
2l0nCDaul10;POLICÍA LANZA GAS LACRIMÓGENO CONTRA ANDRÉS ARÁUZ Y LUISA GONZÁLEZ;URGENTE Andrés Aráuz denunció que la #PoliciaNacional les lanzó gas lacrimógeno al momento de su ingreso al #CNE para ...;2023-06-13T18:16:18Z;9173;376;8797;0;Andres Arauz
2NDfuLRcdyw;El Disenso Ep.9: Desarrollo y Tecnología con Andrés Arauz;El disenso es fundamental para crear los consensos que nos permiten vivir en democracia... por eso invité a Andrés Arauz ...;2023-02-20T00:23:42Z;2096;180;1916;0;Andres Arauz
2sOgs_VsE7Y;HIJO DE ÁLVARO NOBOA SE CANDIDATIZA A LA PRESIDENCIA DE LA REPÚBLICA DEL ECUADOR;ATENCIÓN | Daniel Noboa, hijo de Álvaro Noboa (Alvarito) oficializa su precandidatura a la Presidencia de la República, en un ...;2023-05-25T02:14:05Z;13293;217;13076;0;Noboa propuestas
2TyZ-_xnczs;Entrevista a Luisa González con Radio FM Mundo;LuisaEnMedios #ENVIVO Sigue la entrevista a Luisa González en Radio FM Mundo.;2023-08-01T18:46:28Z;31080;923;30157;0;Gonzales propuestas
3609mWYlwBw;Elecciones en Ecuador: habrá balotaje entre Luisa González y Daniel Noboa;LN+ EN VIVO las 24 horas Suscribite a LA NACION: https://bit.ly/2GU7jVv Mirá más contenidos en: ...;2023-08-21T13:43:09Z;3390;85;3305;0;Elecciones 2023 Ecuador
39AGeM5RmXA;ENTREVISTA A LUISA GONZÁLEZ, HOY CANDIDATA A PRESIDENTA POR LA REVOLUCIÓN CIUDADANA;ENTREVISTA A LUISA GONZÁLEZ, HOY CANDIDATA A PRESIDENTA POR LA REVOLUCIÓN CIUDADANA.;2023-06-17T20:16:20Z;77113;3911;73202;0;Luisa Gonzales presidente
3bS7OCp5VIU;La revolución ciudadana y el pueblo Ecuatoriano, eufóricos con el Binomio Luisa González - Arauz;Hola Amigos aqui encontraran lo mejor de Ecuador Facebook : https://www.facebook.com/Gregommec Twitter ...;2023-07-02T00:18:14Z;25694;1041;24653;0;Revolución Ciudadana
3C-hj7m8b_U;Andrés Arauz habla sobre ganar la presidencia de Ecuador;Andrés Arauz es el candidato a la presidencia de Ecuador por el movimiento Unión por la Esperanza, promovido por el ...;2021-02-09T17:17:55Z;92628;1372;91256;0;Andres Arauz
3FgjWxy9488;Debate Político: Que vínculos Entre Daniel Noboa y Lenin Moreno en las Elecciones de Ecuador?;En medio de la campaña electoral en Ecuador, surge un intenso debate sobre los posibles vínculos entre el candidato Daniel ...;2023-08-23T20:00:08Z;5434;321;5113;0;Problemas de Daniel Noboa
