Ranking 2022;Año;Ranking 2021;Expediente;Nombre;Tipo;RAMA;CIIU;DETALLE;Region;Provincia;Ciudad;Tamaño;Sector;Cant. Empleados;"Activo
2022";"Patrimonio
2022";"Ingreso por ventas
2022";"Utilidad antes del impuesto
2022";"Utilidad del ejercicio
2022";"Utilidad neta
2022";"IR causado
2022";"Ingreso Total
2022";;
1;2022;1;384;CORPORACION FAVORITA C.A.;ANÓNIMA;G;G4711.01;VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;MERCADO DE VALORES;10966;2480403867;1680022315;2355580171;197646304,8;232525064,5;152679114,5;47843670,02;2355580171;;
2;2022;2;6796;ECUACORRIENTE S.A.;ANÓNIMA;B;B0729.01;EXTRACCIÓN Y PREPARACIÓN DE MINERALES ESTIMADOS PRINCIPALMENTE POR SU CONTENIDO DE METALES NO FERROSOS: ALUMINIO (BAUXITA), COBRE, PLOMO, ZINC, ESTAÑO, MANGANESO, CROMO, NÍQUEL, COBALTO, MOLIBDENO, TÁNTALO, VANADIO, ETCÉTERA.;ORIENTE;ZAMORA CHINCHIPE                                  ;EL PANGUI                                         ;GRANDE;SOCIETARIO;1260;1776013944;1203236229;1180396602;461444959,3;546550078,2;355843119,8;103124594,1;1182399617;;
3;2022;3;93144;AURELIAN ECUADOR S.A;ANÓNIMA;B;B0729.02;EXTRACCIÓN DE METALES PRECIOSOS: ORO, PLATA, PLATINO.;ORIENTE;ZAMORA CHINCHIPE                                  ;LOS ENCUENTROS                                    ;GRANDE;SOCIETARIO;1826;1697174179;758100019,6;889974047,3;167071213,4;182093051,5;146182837,1;2479776,55;892799372,2;;
4;2022;4;705547;SHAYA ECUADOR S.A.;ANÓNIMA;B;B0910.01;"ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.";SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;145;1566971618;1250762942;848005611,4;296160665;348424311,8;221707458,3;74428895,23;848165089,9;;
5;2022;7;22576;INDUSTRIAL PESQUERA SANTA PRISCILA S.A.;ANÓNIMA;A;A0321.02;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;15598;1274284556;754977679;1412874281;130119433,2;97362884,89;122992266,7;7555992,54;1422903655;;
6;2022;5;47845;CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL;ANÓNIMA;J;J6120.01;OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;2823;1213963372;486491909,6;1041851015;187079779;220982184,7;141392627;45687151,95;1041851015;;
7;2022;6;143615;CONSORCIO SHUSHUFINDI S.A.;ANÓNIMA;B;B0910.01;"ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.";SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;52;1023737091;842176275,5;510204597,7;212778034,1;250327098,9;157615616;56881216,28;510952162,7;;
8;2022;8;2913;CORPORACION EL ROSADO S.A.;ANÓNIMA;G;G4711.01;VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;6;918571253,2;320981158;1431995152;48800938,05;57412868,29;34172869,6;14745226,57;1445723393;;
9;2022;11;7154;PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA;ANÓNIMA;C;C1010.11;EXPLOTACIÓN DE MATADEROS QUE REALIZAN ACTIVIDADES DE SACRIFICIO, FAENAMIENTO, PREPARACIÓN, PRODUCCIÓN Y EMPACADO DE CARNE FRESCA REFRIGERADA O CONGELADA EN CANALES O PIEZAS O PORCIONES INDIVIDUALES DE: BOVINO, PORCINO, OVINO, CAPRINO.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;MERCADO DE VALORES;7423;826393662,8;445514274,5;1076259837;41559654,71;48893711,42;32789278,39;11671525,24;1082529784;;
10;2022;13;10532;HIDALGO E HIDALGO S.A.;ANÓNIMA;F;F4210.11;CONSTRUCCIÓN DE CARRETERAS, CALLES, CARRETERAS, Y OTRAS VÍAS PARA VEHÍCULOS O PEATONES.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1022;813474697,8;691713805,2;178502751,9;18865133,31;24822668,75;18865133,31;0;178502751,9;;
